食物名稱,熱量(大卡),蛋白質(公克),碳水化合物(公克),脂肪(公克)
超厚雞肉起司堡,543.1,22.5,35.1,34.9
鮪魚蛋滿分堡,387.5,19.2,30.2,21.5
燻雞可頌,469.1,10.86,36.3,31.4
黑胡椒鐵板麵,339.2,12,60.2,5.7
鮪魚蛋餅,378.1,17.6,28.9,21.8
培根湯種,381.5,11.36,37.4,20.9
薯餅蛋餅,374.3,13.3,39.8,18.2
鮮蔬漢堡,272.5,5.6,32.4,9.8
